# gender | sg nom. | sg gen. | sg dat. | sg acc. | pl nom. | pl gen. | pl dat. | pl acc. | translations (comma-separated) | topics (comma-separated)
N | Lied | Liedes/Lieds | Lied/Liede | Lied | Lieder | Lieder | Liedern | Lieder | Song,Песня | A1,Хобби и привычки
F | Zigarette | Zigarette | Zigarette | Zigarette | Zigaretten | Zigaretten | Zigaretten | Zigaretten | Cigarette,Сигарета | A1,Хобби и привычки
M | Sport | Sportes/Sports | Sport/Sporte | Sport | Sporte | Sporte | Sporten | Sporte | Exercise,Sport,Спорт | A1,Спорт
M | Verein | Vereines/Vereins | Verein/Vereine | Verein | Vereine | Vereine | Vereinen | Vereine | Club,Society,Association,Union,Crowd,Объединение,Общество | A1,Спорт
M | Fußball | Fußballes/Fußballs | Fußball/Fußballe | Fußball | Fußbälle | Fußbälle | Fußbällen | Fußbälle | Soccer,Football,Футбол | A1,Спорт
M | Bogen | Bogens | Bogen | Bogen | Bogen/Bögen | Bogen/Bögen | Bogen/Bögen | Bogen/Bögen | Arc,Bow,Piece of paper,Sheet,Дуга,Лук (оружие) | Спорт,A1
N | Schwimmbad | Schwimmbades/Schwimmbads | Schwimmbad/Schwimmbade | Schwimmbad | Schwimmbäder | Schwimmbäder | Schwimmbädern | Schwimmbäder | Swimming pool,Бассейн | A1,Спорт
M | Laden | Ladens | Laden | Laden | Läden/Laden | Läden/Laden | Läden/Laden | Läden/Laden | Shop,Магазин | A1,Покупки и одежда
N | Geschäft | Geschäftes/Geschäfts | Geschäft/Geschäfte | Geschäft | Geschäfte | Geschäfte | Geschäften | Geschäfte | Business,Deal,Profit,Store,Bargain,Transaction | A1,Покупки и одежда
M | Kiosk | Kioskes/Kiosks | Kiosk/Kioske | Kiosk | Kioske | Kioske | Kiosken | Kioske | Kiosk,Киоск | A1,Покупки и одежда
N | Angebot | Angebotes/Angebots | Angebot/Angebote | Angebot | Angebote | Angebote | Angeboten | Angebote | Offer,Supply,Offering,Proposal,Предложение | A1,Покупки и одежда
M | Prospekt | Prospektes.Prospekts | Prospekt.Prospekte | Prospekt | Prospekte | Prospekte | Prospekten | Prospekte | Leafet,Brochure,Pamphlet,Проспект (улица или реклама) | A1,Покупки и одежда
M | Verkäufer | Verkäufers | Verkäufer | Verkäufer | Verkäufer | Verkäufer | Verkäufern | Verkäufer | Продавец,Shop assistent,Salesman,Seller | A1,Покупки и одежда
M | Preis | Preises | Preis/Preise | Preis | Preise | Preise | Preisen | Preise | Price,Charge,Cost,Reward,Rate,Цена | A1,Покупки и одежда
F | Kasse | Kasse | Kasse | Kasse | Kassen | Kassen | Kassen | Kassen | Cash register,Cash,Funds,Касса | A1,Покупки и одежда
F | Tasche | Tasche | Tasche | Tasche | Taschen | Taschen | Taschen | Taschen | Purse,Pocket,Bag,Сумка | A1,Покупки и одежда
F | Größe | Größe | Größe | Größe | Größen | Größen | Größen | Größen | Size,Quantity,Dimension,Magnitude,Extent,Размер | A1,Покупки и одежда
F | Jacke | Jacke | Jacke | Jacke | Jacken | Jacken | Jacken | Jacken | Coat,jacket,Куртка | A1,Покупки и одежда
F | Kleidung | Kleidung | Kleidung | Kleidung | Kleidungen | Kleidungen | Kleidungen | Kleidungen | Вкуыы,Сдщеруы,Сдщерштп,Щгеаше,Фззфкуд,Одежда | A1,Покупки и одежда
F | Heimat | Heimat | Heimat | Heimat | Heimaten | Heimaten | Heimaten | Heimaten | Home,Homeland,Родина | A1,Путешествия
F | Reise | Reise | Reise | Reise | Reisen | Reisen | Reisen | Reisen | Travel,Journey,Trip,Voyage,Путешествие | A1,Путешествия
N | Reisebüro | Reisebüros | Reisebüro | Reisebüro | Reisebüros | Reisebüros | Reisebüros | Reisebüros | Travel agency,Travel agent,Бюро путешествий | A1,Путешествия
M | Reiseführer | Reiseführers | Reiseführer | Reiseführer | Reiseführer | Reiseführer | Reiseführern | Reiseführer | Guide,Courier,Tour guide,Гид (человек/книга) | A1,Путешествия
M | Koffer | Koffers | Koffer | Koffer | Koffer | Koffer | Koffern | Koffer | Suitcase,Чемодан | A1,Путешествия
